VruLineID|,ServerName|,MonLineState|,MonLineCallType|,MonLineCampaign|,MonLineANI|,MonLineDDI
2507|,HRCOMPOSIT|,Ready|,None|,0|,0|,0
2501|,HRCOMPOSIT|,Ready|,None|,0|,0|,0
2508|,HRCOMPOSIT|,Ready|,None|,0|,0|,0
2510|,HRCOMPOSIT|,Ready|,None|,0|,0|,0
2502|,HRCOMPOSIT|,Ready|,None|,0|,0|,0
2511|,HRCOMPOSIT|,Ready|,None|,0|,0|,0
2503|,HRCOMPOSIT|,Ready|,None|,0|,0|,0
2504|,HRCOMPOSIT|,Ready|,None|,0|,0|,0
2505|,HRCOMPOSIT|,Ready|,None|,0|,0|,0
2506|,HRCOMPOSIT|,Ready|,None|,0|,0|,0
2509|,HRCOMPOSIT|,Active|,InboundCall|,כללית_בית|,0543222501|,32558122
